"Month","Books"
"2018-06","1"
"2018-07","4"
"2018-08","5"
"2018-09","6"
"2018-10","8"
"2018-11","4"
"2018-12","7"
"2019-01","7"
"2019-02","6"
"2019-03","4"
"2019-04","5"
"2019-05","6"
"2019-06","5"
"2019-07","5"
"2019-08","6"
"2019-09","5"
"2019-10","7"
"2019-11","6"
"2019-12","6"
"2020-01","2"
"2020-02","9"
"2020-03","6"
"2020-04","4"
